0,1,2,3,4
AEL : Primary Industries – Commercial Mining,,,,
Type of Project,Mine,Capacity,State,SPV Name
,Gondulpura,4.0 MMT,Jharkhand,Adani Enterprises Ltd
,Dhirauli,6.5 MMT,Madhya Pradesh,Stratatech Mineral Resources Pvt Ltd
,Bijahan,5.3 MMT,Odisha,Mahanadi Mines and Minerals Pvt Ltd
Commercial Mining,,,,
,Gondbahera Ujheni East,TBD,Madhya Pradesh,MP Natural Resources Pvt Ltd
Contract,,,,
,Madheri,,,
,,TBD,Maharashtra,MH Natural Resources Pvt Ltd
,(Northwest),,,
,Purunga,TBD,Chhattisgarh,CG Natural Resources Pvt Ltd
,Gondbahera Ujheni,4.1 MMT,Madhya Pradesh,MP Natural Resources Pvt Ltd
