ESG Ratings,AEL’s Rating
Refinitiv ESG Score,"Scored 58/100, indicates good relative ESG performance and above average degree of transparency inreporting material ESG data publicly"
"DJSI-S&P Global CorporateSustainability Assessment",Scored 46/ 100 significantly better than average industry average score of 21/ 100
"CSRHub (Consensus ESGRating)","Ranking of 59 percentile, with consistent ranking above the industry average"
CDP,B (Mgt. Level) for taking coordinated action on climate issues
CRISIL,ESG score of 44/ 100
Sustainalytics,ESG Risk Rating score of 36.5
MSCI,ESG Rating of ‘CCC’
Awards and Recognition,
